Crime,Date,Address,Lat,Long,Link
Arrest,01/06/10. 06:11 PM.,SENTER ROAD AND ALMA AVENUE SAN JOSE,37.3216318,-121.8619402,https://spotcrime.com/mobile/crime/?8382344-4009efaacfdfcc860137facec71f5425
Robbery,01/11/10. 04:26 PM.,5000 BLOCK OF LEIGH AVENUE SAN JOSE,37.2470651,-121.922652,https://spotcrime.com/mobile/crime/?8433007-70668d901971b60a1ee63f5b08f07b8a
Robbery,01/11/10. 09:34 PM.,100 BLOCK OF SOUTH CAPITOL AVENUE SAN JOSE,37.361145,-121.833501,https://spotcrime.com/mobile/crime/?8433005-412c4f470fcf3cb1a36ffa369e5f3a55
Theft,01/11/10. 08:21 PM.,1600 BLOCK OF STORY ROAD SAN JOSE,37.3397829,-121.8431092,https://spotcrime.com/mobile/crime/?8433004-85c0dbcdef73489236955ea89480b59a
Arrest,01/11/10. 08:02 PM.,WHITE ROAD AND ALUM ROCK AVENUE SAN JOSE,37.3657838,-121.8279794,https://spotcrime.com/mobile/crime/?8433003-9f3dc1823b692a3ad128a438f1700892
Shooting,01/11/10. 06:30 PM.,PATT AVENUE AND JIM DRIVE SAN JOSE,37.3791858,-121.8398592,https://spotcrime.com/mobile/crime/?8433000-32d01bdb106b25eb261ac5f03607ebe6
Robbery,01/12/10. 07:04 PM.,900 BLOCK OF MERIDIAN AVENUE SAN JOSE,37.309983,-121.914122,https://spotcrime.com/mobile/crime/?8446667-21a8fb50ebbdb453b2f163011b981bab
Robbery,01/12/10. 06:38 PM.,3900 BLOCK OF SNELL AVENUE SAN JOSE,37.2770658,-121.8418741,https://spotcrime.com/mobile/crime/?8446666-78822465f1eb85be61b5eb8306166960
Arrest,01/12/10. 07:00 AM.,DOW DRIVE AND HILLSDALE AVENUE SAN JOSE,37.2789554,-121.8683995,https://spotcrime.com/mobile/crime/?8446665-961ec0a197483b5516aa975997734721
Assault,01/14/10. 04:06 PM.,NORTH JACKSON AVENUE AND RHINEHART DRIVE SAN JOSE,37.3669055,-121.8518622,https://spotcrime.com/mobile/crime/?8486171-f26b6f27ded818d72102dc267ad669b1
Arrest,01/14/10. 02:38 PM.,400 BLOCK OF WOOSTER AVENUE SAN JOSE,37.3539721,-121.8699595,https://spotcrime.com/mobile/crime/?8486169-b25ec2fe4cc3137f9d13d7bc8f714d71
Assault,01/15/10. 11:56 AM.,400 BLOCK OF CALERO AVENUE SAN JOSE,37.2423749,-121.8260479,https://spotcrime.com/mobile/crime/?8552927-c0c102c96ded37f32480b96ee1862e06
Robbery,01/18/10. 10:35 PM.,BRANHAM LANE AND SNELL AVENUE SAN JOSE,37.2660518,-121.8309851,https://spotcrime.com/mobile/crime/?8552934-b451b7364bd557197ca1f46a512f820e
Robbery,01/18/10. 09:39 PM.,VISTAPARK AND BLUEFIELD DRIVE SAN JOSE,37.2707257,-121.8490161,https://spotcrime.com/mobile/crime/?8552933-5204affe30eccac9f28e1f5e20967cf2
Arrest,01/18/10. 06:55 PM.,10000 BLOCK OF ENDFIELD WAY SAN JOSE,37.3548448,-121.8224219,https://spotcrime.com/mobile/crime/?8552932-6b76e2941c4bd5849f7e8e81ef8c51af
Robbery,01/18/10. 03:11 PM.,500 BLOCK OF EAST SANTA CLARA STREET SAN JOSE,37.3411793,-121.8799661,https://spotcrime.com/mobile/crime/?8552931-f1fdb7789cc472a4569fbbe0cf5ce233
Robbery,01/19/10. 03:29 PM.,100 BLOCK OF SOUTH MARKET STREET SAN JOSE,37.3336239,-121.8906867,https://spotcrime.com/mobile/crime/?8552938-bfe6203cf67938fa80a58cb744db6765
Robbery,01/19/10. 02:30 AM.,2600 BLOCK OF OLIVESTONE WAY SAN JOSE,37.3925691,-121.8703026,https://spotcrime.com/mobile/crime/?8552937-2f1f0e2ad1a97e8e712d47566b98bcc4
Assault,01/21/10. 05:05 PM.,100 BLOCK OF KEYES STREET SAN JOSE,37.3207301,-121.8762072,https://spotcrime.com/mobile/crime/?8576515-3d93072e0a3f28877c39fa2234ff8674
Assault,01/21/10. 06:24 PM.,1200 BLOCK OF DEL MAR AVE SAN JOSE,37.3032546,-121.9303623,https://spotcrime.com/mobile/crime/?8576514-8c0064c0cb31d3f0d856c6407df6fe88
Assault,01/22/10. 03:40 PM.,1600 BLOCK OF KARL STREET SAN JOSE,37.3401044,-121.8295769,https://spotcrime.com/mobile/crime/?8622030-c1d1d0bd550e75ce6232f787f991b93c
Arrest,01/23/10. 04:39 PM.,LAWRENCE EXPRESSWAY AND SARATOGA AVENUE SAN JOSE,37.2892619,-121.994673,https://spotcrime.com/mobile/crime/?8622034-3408c1d2936e09735bb573ab19d1586f
Arrest,01/23/10. 10:49 AM.,10200 BLOCK OF KENILWORTH WAY SAN JOSE,37.357399,-121.822334,https://spotcrime.com/mobile/crime/?8622032-2d2675fe3edead4101e11acd7aa5d15b
Theft,01/24/10. 06:50 PM.,2300 BLOCK OF MCKEE ROAD SAN JOSE,37.3652394,-121.8499984,https://spotcrime.com/mobile/crime/?8622038-1fa11126202359a85f7e9caa32180bda
Arrest,01/24/10. 05:48 PM.,500 BLOCK OF HAZEL DELL WAY SAN JOSE,37.317736,-121.9814995,https://spotcrime.com/mobile/crime/?8622037-b8e71cbe4a7b09921818e47177fabd1b
Assault,01/24/10. 01:10 AM.,5400 BLOCK OF MONTEREY ROAD SAN JOSE,37.2573456,-121.8049779,https://spotcrime.com/mobile/crime/?8622036-28a52590b4278220ebe9fb6520640297
Robbery,01/26/10. 05:38 PM.,2900 BLOCK OF MERIDIAN AVENUE SAN JOSE,37.2725379,-121.9069438,https://spotcrime.com/mobile/crime/?8652529-a46925900c07064acb61e7d9ee67dd2a
Assault,01/28/10. 08:00 PM.,TULLY ROAD AND HURAN DRIVE SAN JOSE,37.3238678,-121.8238256,https://spotcrime.com/mobile/crime/?8680303-e566a2e19b71f570de92abeddd3a782d
Shooting,01/29/10. 08:30 PM.,2200 BLOCK OF LANAI AVENUE SAN JOSE,37.3242279,-121.8326197,https://spotcrime.com/mobile/crime/?8696047-9d6e85a834ddc9dee9726c04aa8b8371
Robbery,01/30/10. 08:00 PM.,2500 BLOCK OF OHLONE DRIVE SAN JOSE,37.3883785,-121.8622399,https://spotcrime.com/mobile/crime/?8722293-695c957086bc75524b6fb6efd1f247c9
Robbery,01/30/10. 12:30 PM.,1700 BLOCK OF EDUCATIONAL PARK DRIVE SAN JOSE,37.370535,-121.862742,https://spotcrime.com/mobile/crime/?8722291-dfb4815a862dabfb23dee9da6789c6d9
Arrest,01/30/10. 10:04 AM.,3400 BLOCK OF SILVER CREEK ROAD SAN JOSE,37.3047909,-121.8087671,https://spotcrime.com/mobile/crime/?8722289-f7f6cfdd7867368bc9cc0a2e7d7f75b1
Robbery,01/30/10. 01:15 AM.,SOUTH SECOND STREET AND EL PASEO DE SAN ANTONIO SAN JOSE,37.3333642,-121.887088,https://spotcrime.com/mobile/crime/?8722288-8cfa5ab36fb31abcb65a68db6e9b1a21
Robbery,01/31/10. 03:40 AM.,300 BLOCK OF SOUTH NINTH STREET SAN JOSE,37.3349549,-121.8780676,https://spotcrime.com/mobile/crime/?8722298-388956206901043063600868b3b85f31
Burglary,01/31/10. 07:24 AM.,1600 BLOCK OF SARATOGA AVENUE SAN JOSE,37.291254,-121.989541,https://spotcrime.com/mobile/crime/?8722297-5fdcabcc2af6ca1f92e9d4e6ec7885c9
Shooting,02/01/10. 10:30 PM.,100 BLOCK OF SOUTH 19TH STREET SAN JOSE,37.3427522,-121.8705581,https://spotcrime.com/mobile/crime/?8739394-a77db2c66012c9e9306576f0601ae393
Arrest,02/01/10. 08:45 AM.,1300 BLOCK OF TALLAHASSEE DRIVE SAN JOSE,37.3439739,-121.8299159,https://spotcrime.com/mobile/crime/?8739393-c14920526644dfd7cca65ce3eb863cea
Arrest,02/03/10. 09:55 PM.,100 BLOCK OF ALEXANDER AVENUE SAN JOSE,37.3643516,-121.8410217,https://spotcrime.com/mobile/crime/?8768991-6a5efbf2020680290154c89d40855413
Robbery,02/03/10. 05:15 PM.,1700 BLOCK OF ALUM ROCK AVENUE SAN JOSE,37.352683,-121.854191,https://spotcrime.com/mobile/crime/?8768990-d3e147083f671737c02e4bee1740270f
Robbery,02/10/10. 07:21 PM.,SAN ANTONIO STREET AND 19TH STREET SAN JOSE,37.3413296,-121.869195,https://spotcrime.com/mobile/crime/?8854564-d97fa49fec9cd9dd2deaa3b852958809
Burglary,02/10/10. 09:50 PM.,1500 BLOCK OF MORRILL AVENUE SAN JOSE,37.4011067,-121.8643932,https://spotcrime.com/mobile/crime/?8842300-db3286ddf7d8c5d38cc80b93c8a97976
Shooting,02/12/10. 04:25 AM.,100 BLOCK OF SARATOGA AVENUE SAN JOSE,37.325775,-121.968111,https://spotcrime.com/mobile/crime/?8865786-92166b705c832c1404124ea4c6c3d4c7
Shooting,02/14/10. 06:57 PM.,2500 BLOCK OF FONTAINE ROAD SAN JOSE,37.317547,-121.828892,https://spotcrime.com/mobile/crime/?8924967-01ab4b9c8deac80e7d2e8c1606e00d23
Robbery,02/16/10. 03:53 PM.,1600 BLOCK OF ALUM ROCK AVENUE SAN JOSE,37.351011,-121.858699,https://spotcrime.com/mobile/crime/?8942602-f51fa67fe546d1052cf674b718712131
Robbery,02/16/10. 03:35 AM.,1300 BLOCK OF SOUTH FIRST STREET SAN JOSE,37.3175705,-121.8749097,https://spotcrime.com/mobile/crime/?8924972-be0173b6c4e47db68d5b5f47238882d3
Robbery,02/16/10. 12:37 AM.,SOUTH FOURTH AND SAN SALVADOR STREETS SAN JOSE,37.3315081,-121.8828339,https://spotcrime.com/mobile/crime/?8924971-8b7e734c00ca1c90dbf1e2e8dec82906
Robbery,02/18/10. 01:39 PM.,POE LANE AND PAYNE AVENUE SAN JOSE,37.3010522,-121.9693674,https://spotcrime.com/mobile/crime/?8962848-3c6fb0bdd18117386b3a46c4ba11c04a
Arrest,02/19/10. 05:30 PM.,CAMDEN AVENUE AND LEIGH AVENUE SAN JOSE,37.2616783,-121.9223326,https://spotcrime.com/mobile/crime/?9003580-3195ab65e8397055b8f575ab464b1232
Burglary,02/19/10. 10:51 AM.,100 BLOCK OF SHENADO PLACE SAN JOSE,37.2590673,-121.8116244,https://spotcrime.com/mobile/crime/?9003579-b85b68a520e4e21ba9e71bf91ecf96c8
Robbery,02/19/10. 01:25 PM.,1600 BLOCK OF SARATOGA AVENUE SAN JOSE,37.291254,-121.989541,https://spotcrime.com/mobile/crime/?9003578-8c4896ec6590bda9e025f6fb461bec06
Assault,02/19/10. 01:08 AM.,2500 BLOCK OF BERRYESSA ROAD AND CAPITOL AVENUE SAN JOSE,37.386696,-121.8605241,https://spotcrime.com/mobile/crime/?8962850-fa3b7edd53698d368dc8dfc6f5a869d2
Assault,02/20/10. 04:30 PM.,500 BLOCK OF NERDY AVENUE SAN JOSE,37.2853396,-121.8280526,https://spotcrime.com/mobile/crime/?9003583-e7179b0d55e0c3e69cb86c9cc7014ace
Assault,02/20/10. 01:07 AM.,SANTA CLARA STREET AND SECOND STREET SAN JOSE,37.3366706,-121.8895049,https://spotcrime.com/mobile/crime/?9003582-57a2f50d8398ce6e7655982fdf5cdcb8
Assault,02/22/10. 06:14 PM.,200 BLOCK OF NORTH WHITE ROAD SAN JOSE,37.3716482,-121.8328196,https://spotcrime.com/mobile/crime/?9022656-fbf317d76794628e93de628bb78418d8
Assault,02/22/10. 02:04 PM.,KING ROAD AND BURDETTE DRIVE SAN JOSE,37.3208012,-121.8244137,https://spotcrime.com/mobile/crime/?9022655-12f84021759e307ad778309d6556a9fa
Robbery,02/22/10. 01:33 PM.,ADRIAN WAY AND SULLIVAN AVENUE SAN JOSE,37.3411127,-121.8294506,https://spotcrime.com/mobile/crime/?9022654-d47dc699fe3957507dc4d9c0a90728e4
Assault,02/23/10. 01:44 PM.,3000 BLOCK OF STORY ROAD SAN JOSE,37.354828,-121.820504,https://spotcrime.com/mobile/crime/?9035462-cbbcda2289738ae8ea1cc54a100a4adf
Robbery,02/25/10. 07:19 PM.,ALUM ROCK AVENUE AND NORTH JACKSON STREET SAN JOSE,37.3585622,-121.843541,https://spotcrime.com/mobile/crime/?9058391-63ab7ce55288ec1c90ca0b20656b9eb6
Robbery,02/25/10. 08:51 PM.,5400 BLOCK OF LEAN AVENUE SAN JOSE,37.2563459,-121.8175008,https://spotcrime.com/mobile/crime/?9058390-59d2e0e6e63f2073269631a9635e0433
Robbery,02/25/10. 06:50 PM.,LA COLINA PARK SAN JOSE,37.2329163,-121.8128437,https://spotcrime.com/mobile/crime/?9058389-d2486b3fed093b3667b8674440ae8b3e
Robbery,02/28/10. 07:07 AM.,600 BLOCK OF EAST HEDDING STREET SAN JOSE,37.3593195,-121.890814,https://spotcrime.com/mobile/crime/?9116259-9d7b753afee7ae09d6d09517db848bf2
Arrest,02/28/10. 01:17 AM.,SOUTH SECOND AND MARTHA STREET SAN JOSE,37.3231142,-121.879414,https://spotcrime.com/mobile/crime/?9116258-480920385efe25abd0340d22b855df5b
Assault,02/28/10. 02:11 AM.,900 BLOCK OF WINCHESTER AVENUE SAN JOSE,37.310814,-121.949392,https://spotcrime.com/mobile/crime/?9116257-fc4199ac856bb763e9e1fb9b22b4d6cc
Shooting,03/01/10. 04:45 PM.,OAK STREET AND ALMADEN AVENUE SAN JOSE,37.3206921,-121.8835306,https://spotcrime.com/mobile/crime/?9084263-717922967da7c154fe002ccdf2fe4efe
Assault,03/02/10. 04:46 PM.,STORY ROAD AND HOPKINS DRIVE SAN JOSE,37.3436086,-121.8375107,https://spotcrime.com/mobile/crime/?9129608-df768668b409bd66ba0a1e6111e5988f
Robbery,03/04/10. 12:03 PM.,500 BLOCK OF WEST CAPITOL EXPRESSWAY SAN JOSE,37.2746486,-121.8547754,https://spotcrime.com/mobile/crime/?9159356-2af3b2b88510fd0d7bb33953a21e5651
Robbery,03/05/10. 12:25 AM.,500 BLOCK OF CALERO AVENUE SAN JOSE,37.2420537,-121.8307444,https://spotcrime.com/mobile/crime/?9205112-6ffb5ae765622b575d0fdf4c740deb09
Arrest,03/06/10. 09:17 AM.,STORY ROAD AND HOPKINS DRIVE SAN JOSE,37.3436086,-121.8375107,https://spotcrime.com/mobile/crime/?9205115-ce272c007ba9c27cdfa3a32e301eebb9
Robbery,03/07/10. 06:31 PM.,TULLY ROAD AND ALVIN AVENUE SAN JOSE,37.3202543,-121.8288369,https://spotcrime.com/mobile/crime/?9205121-c1561685b795321d68652c59898e51da
Assault,03/07/10. 03:24 PM.,WEST SAN CARLOS STREET AND TOPEKA AVENUE SAN JOSE,37.3234518,-121.9309027,https://spotcrime.com/mobile/crime/?9205120-b4f3a3a4fa0419ae20669050b3215d67
Arrest,03/08/10. 02:40 PM.,3000 BLOCK OF ALUM ROCK AVENUE SAN JOSE,37.3649042,-121.8298116,https://spotcrime.com/mobile/crime/?9221183-14e7749c6b9471536c18dee1e4cd0aa2
Arrest,03/08/10. 11:00 AM.,4800 BLOCK OF WELLINGTON PARK DRIVE SAN JOSE,37.2654903,-121.8495667,https://spotcrime.com/mobile/crime/?9221182-1b1152d66eb5107b5d12d75de0c72597
Arrest,03/08/10. 03:00 AM.,300 BLOCK OF SANTANA ROW SAN JOSE,37.3228519,-121.9479055,https://spotcrime.com/mobile/crime/?9205127-6d7b312650956e510295b102abb932bf
Robbery,03/09/10. 12:00 PM.,2900 BLOCK OF STEVENS CREEK BOULEVARD SAN JOSE,37.3232653,-121.9461302,https://spotcrime.com/mobile/crime/?9229343-665af61fba1826d5fa88682e832f3fe5
Burglary,03/09/10. 03:12 AM.,14000 BLOCK OF CANDLER AVENUE SAN JOSE,37.3514514,-121.8148466,https://spotcrime.com/mobile/crime/?9221185-cb11cc864c0f5410410d614bd7caa782
Assault,03/10/10. 12:23 AM.,HOLLY HILL DRIVE AND MCLAUGHLIN AVENUE SAN JOSE,37.3238032,-121.8449235,https://spotcrime.com/mobile/crime/?9229345-4d3405dccfd0bc928d10900bc016e397
Robbery,03/11/10. 04:44 AM.,2500 BLOCK OF FONTAINE ROAD SAN JOSE,37.317547,-121.828892,https://spotcrime.com/mobile/crime/?9245081-dfa55f65115a7c579e3bb3d5bf86dafa
Assault,03/13/10. 03:24 AM.,SOUTH SIXTH AND SAN SALVADOR STREET SAN JOSE,37.3325401,-121.8806823,https://spotcrime.com/mobile/crime/?9351363-762d8ab968f3257f5f54a92c9eb86021
Assault,03/14/10. 10:15 PM.,1600 BLOCK OF HOPKINS DRIVE SAN JOSE,37.337788,-121.831309,https://spotcrime.com/mobile/crime/?9351372-f59131f57be47f595b34291c157f29df
Robbery,03/14/10. 07:58 PM.,3000 BLOCK OF MCKEE ROAD SAN JOSE,37.3739209,-121.8372214,https://spotcrime.com/mobile/crime/?9351370-a0f57a03b96d6e4e1143ffaf0412dacf
Assault,03/14/10. 04:40 AM.,WHITE ROAD AND ALUM ROCK AVENUE SAN JOSE,37.3658752,-121.8280584,https://spotcrime.com/mobile/crime/?9351368-0ad0d316141eafde180d952c5a36a8fc
Robbery,03/14/10. 01:57 AM.,CURTNER AND LEIGH AVENUE SAN JOSE,37.2759093,-121.9225288,https://spotcrime.com/mobile/crime/?9351366-18ec00d6eedded40cf112537a13f63d9
Robbery,03/16/10. 06:30 AM.,1600 BLOCK OF NORTH CAPITOL AVENUE SAN JOSE,37.3968292,-121.8717475,https://spotcrime.com/mobile/crime/?9351380-3557babe5dfd26f079c9f30a5af5f3a6
Shooting,03/16/10. 06:30 AM.,SANTA TERESA BOULEVARD AND STANLEY COURT SAN JOSE,37.2370256,-121.808868,https://spotcrime.com/mobile/crime/?9351378-1b3b338cabbe9f14dc9cb0f33235d683
Burglary,03/18/10. 03:03 PM.,3200 BLOCK OF CANTADA COURT SAN JOSE,37.3061209,-121.7637552,https://spotcrime.com/mobile/crime/?9434547-f90b47330469772878db4cf225d46c14
Theft,03/18/10. 01:00 PM.,400 BLOCK OF BLOSSOM HILL ROAD SAN JOSE,37.2342588,-121.9731629,https://spotcrime.com/mobile/crime/?9434546-762566cc5895738184cc0066a904eb07
Assault,03/18/10. 12:32 AM.,2400 BLOCK OF TULLY ROAD SAN JOSE,37.3306691,-121.8134757,https://spotcrime.com/mobile/crime/?9434545-4c66f221ff5dc4b956998259ac8f006e
Assault,03/24/10. 07:13 PM.,300 BLOCK OF BLUEFIELD DRIVE SAN JOSE,37.2716412,-121.8457637,https://spotcrime.com/mobile/crime/?9467401-f1fbc833ea82f2ac5e12229d31360584
Robbery,03/24/10. 02:27 AM.,400 BLOCK OF ALLEGAN CIRCLE SAN JOSE,37.2343442,-121.8137548,https://spotcrime.com/mobile/crime/?9450485-5f89794cbf0ea27d1734a04ebc59d356
Robbery,03/25/10. 08:16 PM.,600 BLOCK OF MACREDES AVENUE SAN JOSE,37.3377429,-121.8609693,https://spotcrime.com/mobile/crime/?9504705-a649f671cd30277b6c6092a4338a9e41
Arson,03/25/10. 11:34 AM.,100 BLOCK OF N. THIRD ST. SAN JOSE,37.340053,-121.889928,https://spotcrime.com/mobile/crime/?9504704-66dc1a6ffa143b469db0f4699859bc15
Burglary,03/25/10. 01:44 AM.,100 BLOCK OF SCHARFF AVENUE SAN JOSE,37.356084,-121.84342,https://spotcrime.com/mobile/crime/?9467403-d0004e184b5d1dcf3ec6a734740aa281
Assault,03/26/10. 02:53 PM.,100 BLOCK OF SOUTH WHITE ROAD SAN JOSE,37.364444,-121.826289,https://spotcrime.com/mobile/crime/?9529442-ba3a3b7e2644978fd994097a2527b21c
Shooting,03/27/10. 01:05 AM.,1000 BLOCK OF SOUTH NINTH STREET SAN JOSE,37.3251915,-121.8709051,https://spotcrime.com/mobile/crime/?9529444-1e668e3e84ba23bf0f7d189d84c943ab
Theft,03/29/10. 12:00 AM.,600 BLOCK OF WILLOW ST SAN JOSE,37.3128757,-121.8926333,https://spotcrime.com/mobile/crime/?9545840-bafdaca9446073155c778aaafe0b597d
Shooting,03/29/10. 09:04 PM.,STORY ROAD AND SUNSET AVENUE SAN JOSE,37.3434977,-121.8379863,https://spotcrime.com/mobile/crime/?9545839-89d3e156620f59fe5569ab6159519fef
Assault,03/29/10. 04:26 AM.,3800 BLOCK OF STEVENS CREEK BOULEVARD SAN JOSE,37.3231281,-121.9679023,https://spotcrime.com/mobile/crime/?9545837-d54b79dc9776b7af8bba20c17253c038
Assault,03/30/10. 05:16 PM.,MOORPARK AVENUE AND JOHN MISE COURT SAN JOSE,37.3158727,-121.9888297,https://spotcrime.com/mobile/crime/?9595211-59857f08f9916c228edc26967d8e80ec
Assault,03/30/10. 02:50 PM.,ALUM ROCK AVENUE AND CAPITOL AVENUE SAN JOSE,37.3624826,-121.835253,https://spotcrime.com/mobile/crime/?9595210-86d7d65c456424a8839fcbb2f7ddddcf
Burglary,03/30/10. 01:30 PM.,HELLYER AVENUE AND LOBUE WAY SAN JOSE,37.2843717,-121.8190474,https://spotcrime.com/mobile/crime/?9595208-d32dd821625280c8b40a28d7eedc16c0
Theft,03/30/10. 04:30 AM.,PARK AVENUE AND RACE AVENUE SAN JOSE,37.3260144,-121.9115812,https://spotcrime.com/mobile/crime/?9595207-6aa22c27a4dd479e7675e364fb8c5fec
Assault,04/04/10. 01:45 AM.,1100 BLOCK OF BRANHAM LANE SAN JOSE,37.2628964,-121.8765463,https://spotcrime.com/mobile/crime/?9661360-f886bb4ca7bab23da5d226ca0ebb47cd
Assault,04/04/10. 12:45 AM.,6100 BLOCK OF MONTEREY ROAD SAN JOSE,37.2143817,-121.7369544,https://spotcrime.com/mobile/crime/?9661358-4d19b787f33aded72cbcdf8ac50be281
Arrest,04/06/10. 07:28 PM.,NORWOOD AVENUE AND KLEIN ROAD SAN JOSE,37.3324068,-121.7793996,https://spotcrime.com/mobile/crime/?9704999-a96d434c786d1a542939e817b30fd715
Burglary,04/07/10. 10:20 AM.,1900 BLOCK OF DRUMHEAD COURT SAN JOSE,37.387019,-121.8791346,https://spotcrime.com/mobile/crime/?9745463-3bd78bbe255ffa05b9adb8f22667a8f4
Arrest,04/08/10. 03:30 PM.,"500 BLOCK OF DANA AVE., SAN JOSE, CA SAN JOSE",37.329287,-121.92378,https://spotcrime.com/mobile/crime/?9769885-8ffc94517a304848e0dea6cc8ef7fdcd
Arrest,04/08/10. 12:06 AM.,1900 BLOCK OF FERNISH DRIVE SAN JOSE,37.3483634,-121.7964715,https://spotcrime.com/mobile/crime/?9745465-85fa27c754d6cb25dea6898de86518bb
Arrest,04/09/10. 07:00 PM.,SOUTH WHITE ROAD AND FARRINGDON DRIVE SAN JOSE,37.3542938,-121.8174429,https://spotcrime.com/mobile/crime/?9791392-ea60ff9557279b8f69862bc15fa29e85
Assault,04/09/10. 07:00 PM.,2700 BLOCK OF STORY ROAD SAN JOSE,37.3509288,-121.826687,https://spotcrime.com/mobile/crime/?9791391-83c3699a30d70299eb955a5dd3a24680
Arrest,04/09/10. 07:00 PM.,2900 BLOCK OF PLUMSTEAD WAY SAN JOSE,37.3152505,-121.8049722,https://spotcrime.com/mobile/crime/?9791390-ba210fac09ab39f062f2489d7c3cce14
Theft,04/09/10. 07:00 PM.,7200 BLOCK OF ALDER SPRING WAY SAN JOSE,37.2244235,-121.7724514,https://spotcrime.com/mobile/crime/?9791389-1198de3e0c9735b0377adc3638f33868
Assault,04/10/10. 07:00 PM.,SOUTH KING AND STORY ROADS SAN JOSE,37.3397962,-121.8431257,https://spotcrime.com/mobile/crime/?9791396-72b66dd9f7eff7c232837e98cfd90912
Assault,04/10/10. 07:00 PM.,SOUTH SECOND AND EAST SAN SALVADOR STREETS SAN JOSE,37.3305239,-121.8849444,https://spotcrime.com/mobile/crime/?9791395-bdd0cda4fd4329c992782c8439dd2eb9
Assault,04/10/10. 07:00 PM.,500 BLOCK OF SIEBER PLACE SAN JOSE,37.2908192,-121.8328944,https://spotcrime.com/mobile/crime/?9791394-97b6c96a4ecf7039125c4dbf88cf1ecb
Shooting,04/11/10. 12:00 AM.,3100 BLOCK OF MODRED DRIVE SAN JOSE,37.381261,-121.8402012,https://spotcrime.com/mobile/crime/?9791400-4a41d61ea74e1ba6dad9889eb72b8090
Arrest,04/11/10. 07:00 PM.,100 BLOCK OF SOUTH TERRACE COURT SAN JOSE,37.2443454,-121.7794607,https://spotcrime.com/mobile/crime/?9791399-9aac66480c1b98d37a60b549334deb9f
Arrest,04/11/10. 07:00 PM.,2000 BLOCK OF LUCRETIA AVENUE SAN JOSE,37.3196529,-121.8470471,https://spotcrime.com/mobile/crime/?9791398-68697398c2dc3bc3f32835611f382fef
Robbery,04/12/10. 03:30 PM.,100 BLOCK OF SOUTH MARKET STREET SAN JOSE,37.3336239,-121.8906867,https://spotcrime.com/mobile/crime/?9804359-61c38b1a320e91eb8cfd1ec4a7bea1ec
Arrest,04/12/10. 02:25 PM.,SOUTH JACKSON AVENUE AND STORY ROAD SAN JOSE,37.3470557,-121.8326936,https://spotcrime.com/mobile/crime/?9804358-fd90fe15f97322aeb8dd65c7cbb976fd
Arrest,04/12/10. 11:29 PM.,1000 BLOCK OF BRANHAM LANE SAN JOSE,37.2643952,-121.8710592,https://spotcrime.com/mobile/crime/?9804357-15c1a9806ae38e52225ba2a672b49263
Assault,04/14/10. 10:03 PM.,BRANHAM LANE AND CAMDEN AVENUE SAN JOSE,37.2511233,-121.9107337,https://spotcrime.com/mobile/crime/?9833348-2d40a27802d4f0a35e85fec2df368b16
Assault,04/14/10. 07:18 AM.,2300 BLOCK OF PAULINE DRIVE SAN JOSE,37.2796968,-121.9305882,https://spotcrime.com/mobile/crime/?9833347-2411187d0e9884d97dcb5787bcb2adb7
